year,region,latitude,longitude,population,values_year,1_against_people_indicator,2_against_freedom_indicator,3_sexual_freedom_indicator,4_family_relationships_indicator,5_property_crimes_indicator,6_collective_security_indicator,7_forgeries_indicator,8_public_administration_indicator,9_justice_administration_indicator,Values_year_PCA
2015,17,43.263,-2.9349,2189257.0,6342,0,1,0,0,0,0,0,0,0,-0.28605452736964193
2015,18,42.2871,-2.5396,317053.0,327,0,1,0,0,0,0,0,0,0,-0.4607248056340551
2015,9,35.8894,-5.3198,84263.0,182,0,1,0,0,0,0,0,0,0,-0.462360138667206
2015,10,35.293,-2.9387,85584.0,172,0,1,0,0,0,0,0,0,0,-0.46451727174199203
2014,0,37.3873,-5.9869,8402305.0,7364,0,1,0,0,0,0,0,0,0,-0.178189789169257
2014,1,41.6488,-0.8891,1325385.0,909,0,1,0,0,0,0,0,0,0,-0.4311754560062342
2014,2,43.3619,-5.8494,1061756.0,494,0,1,0,0,0,0,0,0,0,-0.44752278492988756
2014,3,39.5712,2.6466,1103442.0,1350,0,1,0,0,0,0,0,0,0,-0.412738697786821
2014,5,28.2916,-16.6291,2104815.0,2014,0,1,0,0,0,0,0,0,0,-0.3869240119738326
2014,4,43.1828,-3.9878,588656.0,356,0,1,0,0,0,0,0,0,0,-0.4540654219777766
2014,7,41.6523,-4.7245,2494790.0,1242,0,1,0,0,0,0,0,0,0,-0.4203177331571026
2014,6,39.8628,-4.0273,2078611.0,1303,0,1,0,0,0,0,0,0,0,-0.4167270195817715
2014,8,41.3851,2.1734,7518903.0,10222,0,1,0,0,0,0,0,0,0,-0.059465515125869194
2014,11,39.4699,-0.3763,5004844.0,4413,0,1,0,0,0,0,0,0,0,-0.2889922017436396
2014,12,39.4765,-6.3722,1099632.0,706,0,1,0,0,0,0,0,0,0,-0.44251498277911394
2014,13,42.5751,-8.1339,2748695.0,1761,0,1,0,0,0,0,0,0,0,-0.4007436814066679
2014,14,40.4168,-3.7038,6454440.0,3784,0,1,0,0,0,0,0,0,0,-0.3172963334067161
2014,15,37.9922,-1.1307,1466818.0,1169,0,1,0,0,0,0,0,0,0,-0.42153978053135954
2014,16,42.6954,-1.6761,640790.0,523,0,1,0,0,0,0,0,0,0,-0.43661912022681365
2014,17,43.263,-2.9349,2188985.0,4788,0,1,0,0,0,0,0,0,0,-0.2874560336452872
2014,18,42.2871,-2.5396,319002.0,194,0,1,0,0,0,0,0,0,0,-0.4612824427388487
2014,9,35.8894,-5.3198,84963.0,109,0,1,0,0,0,0,0,0,0,-0.46115438517578444
2014,10,35.293,-2.9387,84509.0,82,0,1,0,0,0,0,0,0,0,-0.4643513605910589
2013,0,37.3873,-5.9869,8440300.0,7773,0,1,0,0,0,0,0,0,0,-0.19355216487744037
